club_name,club_logo,club_link,league
Liverpool,https://static.bongda24h.vn/Medias/icon/2020/7/23/Liverpool.png,https://bongda24h.vn/clubs/liverpool-2.html,Premier League
Arsenal,https://static.bongda24h.vn/Medias/icon/2020/7/23/Arsenal.png,https://bongda24h.vn/clubs/arsenal-4.html,Premier League
Aston Villa,https://static.bongda24h.vn/Medias/icon/2023/12/11/aston_villa_fc_logo-1112151901.png,https://bongda24h.vn/clubs/aston-villa-8.html,Premier League
Man City,https://static.bongda24h.vn/Medias/icon/2017/6/26/manchester-city.jpg,https://bongda24h.vn/clubs/man-city-1471.html,Premier League
Tottenham,https://static.bongda24h.vn/Medias/icon/2020/7/23/Totenham.png,https://bongda24h.vn/clubs/tottenham-5.html,Premier League
Man United,https://static.bongda24h.vn/Medias/icon/2020/7/23/ManUnited.png,https://bongda24h.vn/clubs/manchester-united-1.html,Premier League
Newcastle,https://static.bongda24h.vn/Medias/icon/2020/7/27/Newcastle.jpg,https://bongda24h.vn/clubs/newcastle-united-1393.html,Premier League
Brighton,https://static.bongda24h.vn/Medias/icon/2017/8/3/logo-brighton-hove-albion.jpg,https://bongda24h.vn/clubs/brighton-2269.html,Premier League
West Ham,https://static.bongda24h.vn/Medias/icon/2020/8/12/West-Ham.png,https://bongda24h.vn/clubs/west-ham-1494.html,Premier League
Fulham,https://static.bongda24h.vn/Medias/icon/Fulham.png,https://bongda24h.vn/clubs/fulham-9.html,Premier League
Brentford,https://static.bongda24h.vn/Medias/icon/2022/09/27/brentford-2709105306.png,https://bongda24h.vn/clubs/brentford-1617.html,Premier League
Chelsea,https://static.bongda24h.vn/Medias/icon/2020/7/23/Chelsea.png,https://bongda24h.vn/clubs/chelsea-6.html,Premier League
Wolves,https://static.bongda24h.vn/Medias/icon/2020/8/12/Wolves.png,https://bongda24h.vn/clubs/wolverhampton-1458.html,Premier League
Bournemouth,https://static.bongda24h.vn/Medias/icon/2020/7/27/Bournemouth.png,https://bongda24h.vn/clubs/bournemouth-1524.html,Premier League
Crystal Palace,https://static.bongda24h.vn/Medias/icon/2020/7/27/CrystalPalace.png,https://bongda24h.vn/clubs/crystal-palace-1265.html,Premier League
Nottingham Forest,https://static.bongda24h.vn/Medias/icon/NottmForest_20141014180135.jpg,https://bongda24h.vn/clubs/nottingham-forest-1452.html,Premier League
Everton,https://static.bongda24h.vn/Medias/icon/2020/8/11/Everton.png,https://bongda24h.vn/clubs/everton-3.html,Premier League
Luton Town,https://static.bongda24h.vn/Medias/icon/2022/09/27/luton-2709154314.png,https://bongda24h.vn/clubs/luton-town-2534.html,Premier League
Burnley,https://static.bongda24h.vn/Medias/icon/2023/06/16/burnley-1606092510.jpg,https://bongda24h.vn/clubs/burnley-1271.html,Premier League
Sheffield United,https://static.bongda24h.vn/Medias/icon/2020/8/12/Sheffield-United.png,https://bongda24h.vn/clubs/sheffield-united-2437.html,Premier League
Leicester,https://static.bongda24h.vn/Medias/icon/2017/6/26/leicester.jpg,https://bongda24h.vn/clubs/leicester-city-1453.html,Hạng nhất Anh
Ipswich Town,https://static.bongda24h.vn/Medias/icon/Ipswich_20141014175534.png,https://bongda24h.vn/clubs/ipswich-town-1455.html,Hạng nhất Anh
Leeds United,https://static.bongda24h.vn/Medias/icon/Leeds_20141014175710.jpg,https://bongda24h.vn/clubs/leeds-united-1454.html,Hạng nhất Anh
Southampton,https://static.bongda24h.vn/Medias/icon/2020/7/27/Southampton.png,https://bongda24h.vn/clubs/southampton-1148.html,Hạng nhất Anh
West Brom,https://static.bongda24h.vn/Medias/icon/2017/6/26/west-brom.jpg,https://bongda24h.vn/clubs/west-bromwich-1499.html,Hạng nhất Anh
Sunderland,https://static.bongda24h.vn/Medias/icon/Sunderland_20141015200458.png,https://bongda24h.vn/clubs/sunderland-10.html,Hạng nhất Anh
Hull City,https://static.bongda24h.vn/Medias/icon/Hull_20141014175105.png,https://bongda24h.vn/clubs/hull-1460.html,Hạng nhất Anh
Preston North End,https://static.bongda24h.vn/Medias/icon/2022/09/28/preston-north-2809091951.png,https://bongda24h.vn/clubs/preston-north-end-2536.html,Hạng nhất Anh
Blackburn Rovers,https://static.bongda24h.vn/Medias/icon/2023/03/13/blackburns-1303161247.png,https://bongda24h.vn/clubs/blackburn-1450.html,Hạng nhất Anh
Cardiff City,https://static.bongda24h.vn/Medias/icon/2022/09/28/cardiff-2809095039.png,https://bongda24h.vn/clubs/cardiff-city-1461.html,Hạng nhất Anh
Norwich City,https://static.bongda24h.vn/Medias/icon/2020/8/12/Norwich.png,https://bongda24h.vn/clubs/norwich-city-1496.html,Hạng nhất Anh
Watford,https://static.bongda24h.vn/Medias/icon/2020/8/12/Watford.png,https://bongda24h.vn/clubs/watford-1269.html,Hạng nhất Anh
Middlesbrough,https://static.bongda24h.vn/Medias/icon/Middlesbrough_20141015093102.jpg,https://bongda24h.vn/clubs/middlesbrough-1277.html,Hạng nhất Anh
